account_length,customer_service_calls,number_vm_messages,total_day_calls,total_day_charge,total_day_min,total_eve_calls,total_eve_charge,total_eve_min,total_intl_calls,total_intl_charge,total_intl_minutes,total_night_calls,total_night_charge,total_night_minutes,voice_mail_plan,intertiol_plan,location_code,Churn,total_mins,total_calls,total_charge,mins_per_call,has_plan
15.0,2.0,0.0,130.0,20.59,121.1,86.0,18.36,216.0,5.0,4.35,16.1,33.0,10.58,235.1,0,0,1,0,588.3000000000001,254.0,53.88,2.316141732283465,0
105.0,3.0,0.0,96.0,44.08,259.3,97.0,14.89,175.2,5.0,3.24,12.0,36.0,10.01,222.4,0,0,1,0,668.9,234.0,72.22,2.8585470085470086,0
97.0,5.0,32.0,94.0,31.18,183.4,120.0,22.87,269.1,4.0,1.81,6.7,38.0,9.16,203.5,1,0,1,0,662.7,256.0,65.02,2.588671875,1
121.0,1.0,35.0,95.0,11.68,68.7,69.0,17.78,209.2,4.0,3.08,11.4,42.0,8.88,197.4,1,0,0,0,486.69999999999993,210.0,41.42,2.3176190476190475,1
98.0,0.0,22.0,89.0,47.31,278.3,143.0,7.94,93.4,5.0,2.62,9.7,42.0,4.84,107.6,1,0,1,0,489.00000000000006,279.0,62.71,1.752688172043011,1
151.0,1.0,17.0,97.0,36.5,214.7,90.0,11.77,138.5,4.0,2.32,8.6,44.0,7.61,169.1,1,0,0,0,530.9,235.0,58.199999999999996,2.2591489361702126,1
170.0,4.0,5.666666666666667,111.0,34.92,185.5,94.0,11.48,145.0,3.0,2.94,10.9,44.0,8.31,175.6,1,0,1,1,517.0,252.0,57.650000000000006,2.0515873015873014,1
39.0,1.0,0.0,114.0,10.27,60.4,120.0,26.03,306.2,3.0,3.35,12.4,46.0,5.58,123.9,0,0,0,0,502.9,283.0,45.23,1.7770318021201412,0
94.0,3.0,0.0,105.0,48.1,262.2,102.0,18.22,216.6,3.0,3.11,11.5,47.0,9.97,235.6,0,0,2,1,725.9,257.0,79.39999999999999,2.8245136186770425,0
93.0,1.0,0.0,114.0,28.63,168.4,127.0,23.46,276.0,3.0,3.08,11.4,48.0,8.83,196.2,0,1,2,0,651.9999999999999,292.0,64.0,2.2328767123287667,1
170.0,4.0,14.0,119.0,33.92,199.5,90.0,11.48,135.0,3.0,2.94,10.9,49.0,8.31,184.6,1,0,1,1,530.0,261.0,56.650000000000006,2.0306513409961684,1
61.0,0.0,31.0,101.0,49.08,288.7,102.0,17.48,203.8,3.0,2.32,8.6,49.0,9.14,203.2,1,0,0,0,704.3000000000001,255.0,78.02,2.7619607843137257,1
137.0,3.0,0.0,118.0,41.16,242.1,93.0,16.24,191.0,2.0,3.97,14.7,50.0,9.84,218.6,0,0,2,0,666.4000000000001,263.0,71.21,2.53384030418251,0
85.0,1.0,0.0,122.0,29.99,176.4,123.0,19.12,224.9,1.0,3.11,11.5,50.0,9.88,219.6,0,0,1,0,632.4,296.0,62.1,2.1364864864864863,0
