account_length,customer_service_calls,number_vm_messages,total_day_calls,total_day_charge,total_day_min,total_eve_calls,total_eve_charge,total_eve_min,total_intl_calls,total_intl_charge,total_intl_minutes,total_night_calls,total_night_charge,total_night_minutes,voice_mail_plan,intertiol_plan,location_code,Churn,total_mins,total_calls,total_charge,mins_per_call,has_plan
15.0,2.0,0.0,130.0,20.59,121.1,86.0,18.36,216.0,5.0,4.35,16.1,33.0,10.58,235.1,No,No,452.0,No,588.3000000000001,254.0,53.88,2.316141732283465,No
105.0,3.0,0.0,96.0,44.08,259.3,97.0,14.89,175.2,5.0,3.24,12.0,36.0,10.01,222.4,No,No,452.0,No,668.9,234.0,72.22,2.8585470085470086,No
97.0,5.0,32.0,94.0,31.18,183.4,120.0,22.87,269.1,4.0,1.81,6.7,38.0,9.16,203.5,Yes,No,452.0,No,662.7,256.0,65.02,2.588671875,Yes
121.0,1.0,35.0,95.0,11.68,68.7,69.0,17.78,209.2,4.0,3.08,11.4,42.0,8.88,197.4,Yes,No,445.0,No,486.69999999999993,210.0,41.42,2.3176190476190475,Yes
98.0,0.0,22.0,89.0,47.31,278.3,143.0,7.94,93.4,5.0,2.62,9.7,42.0,4.84,107.6,Yes,No,452.0,No,489.00000000000006,279.0,62.71,1.752688172043011,Yes
151.0,1.0,17.0,97.0,36.5,214.7,90.0,11.77,138.5,4.0,2.32,8.6,44.0,7.61,169.1,Yes,No,445.0,No,530.9,235.0,58.199999999999996,2.2591489361702126,Yes
170.0,4.0,5.666666666666667,111.0,34.92,185.5,94.0,11.48,145.0,3.0,2.94,10.9,44.0,8.31,175.6,Yes,No,452.0,Yes,517.0,252.0,57.650000000000006,2.0515873015873014,Yes
39.0,1.0,0.0,114.0,10.27,60.4,120.0,26.03,306.2,3.0,3.35,12.4,46.0,5.58,123.9,No,No,445.0,No,502.9,283.0,45.23,1.7770318021201412,No
94.0,3.0,0.0,105.0,48.1,262.2,102.0,18.22,216.6,3.0,3.11,11.5,47.0,9.97,235.6,No,No,547.0,Yes,725.9,257.0,79.39999999999999,2.8245136186770425,No
93.0,1.0,0.0,114.0,28.63,168.4,127.0,23.46,276.0,3.0,3.08,11.4,48.0,8.83,196.2,No,Yes,547.0,No,651.9999999999999,292.0,64.0,2.2328767123287667,Yes
170.0,4.0,14.0,119.0,33.92,199.5,90.0,11.48,135.0,3.0,2.94,10.9,49.0,8.31,184.6,Yes,No,452.0,Yes,530.0,261.0,56.650000000000006,2.0306513409961684,Yes
61.0,0.0,31.0,101.0,49.08,288.7,102.0,17.48,203.8,3.0,2.32,8.6,49.0,9.14,203.2,Yes,No,445.0,No,704.3000000000001,255.0,78.02,2.7619607843137257,Yes
137.0,3.0,0.0,118.0,41.16,242.1,93.0,16.24,191.0,2.0,3.97,14.7,50.0,9.84,218.6,No,No,547.0,No,666.4000000000001,263.0,71.21,2.53384030418251,No
85.0,1.0,0.0,122.0,29.99,176.4,123.0,19.12,224.9,1.0,3.11,11.5,50.0,9.88,219.6,No,No,452.0,No,632.4,296.0,62.1,2.1364864864864863,No
121.0,1.0,0.0,142.0,30.12,177.2,88.0,10.5,123.5,6.0,2.27,8.4,51.0,9.59,213.2,No,No,547.0,No,522.3,287.0,52.48000000000001,1.8198606271777003,No
94.0,3.0,0.0,105.0,46.1,271.2,105.0,17.22,202.6,3.0,3.11,11.5,51.0,9.97,221.6,No,No,547.0,Yes,706.9,264.0,76.4,2.6776515151515152,No
113.0,0.0,30.0,102.0,31.25,183.8,123.0,15.59,183.4,7.0,3.13,11.6,52.0,10.58,235.0,Yes,No,452.0,No,613.8000000000001,284.0,60.550000000000004,2.161267605633803,Yes
101.0,1.0,0.0,130.0,26.25,154.4,101.0,18.46,217.2,4.0,3.75,13.9,52.0,8.34,185.4,No,No,452.0,No,570.9,287.0,56.8,1.989198606271777,No
32.0,0.0,0.0,87.0,39.25,230.9,90.0,15.93,187.4,2.0,1.7,6.3,53.0,6.93,154.0,No,No,547.0,No,578.5999999999999,232.0,63.81,2.493965517241379,No
149.0,1.0,0.0,117.0,11.75,69.1,100.0,11.59,136.3,3.0,1.7,6.3,53.0,8.18,181.7,No,No,445.0,No,393.40000000000003,273.0,33.22,1.4410256410256412,No
105.0,1.0,0.0,48.0,17.24,101.4,119.0,13.52,159.1,2.0,3.29,12.2,53.0,11.66,259.2,No,No,452.0,No,531.9000000000001,222.0,45.71,2.3959459459459462,No
54.0,1.0,0.0,102.0,35.79,210.5,83.0,17.38,204.5,5.0,2.3,8.5,53.0,5.75,127.8,No,No,547.0,No,551.3,243.0,61.22,2.2687242798353906,No
149.0,3.0,28.0,92.0,30.72,180.7,64.0,15.96,187.8,3.0,3.4,12.6,53.0,11.95,265.5,Yes,No,445.0,No,646.6,212.0,62.029999999999994,3.0500000000000003,Yes
52.0,0.0,0.0,118.0,42.74,251.4,80.0,16.71,196.6,2.0,2.97,11.0,53.0,8.64,192.0,No,Yes,547.0,Yes,651.0,253.0,71.06,2.5731225296442686,Yes
174.0,1.0,0.0,97.0,32.66,192.1,94.0,14.44,169.9,4.0,3.08,11.4,54.0,7.5,166.6,No,No,445.0,No,540.0,249.0,57.67999999999999,2.1686746987951806,No
160.0,0.0,0.0,116.0,14.06,82.7,95.0,16.54,194.6,9.0,2.94,10.9,54.0,7.15,159.0,No,No,445.0,No,447.2,274.0,40.69,1.6321167883211678,No
122.0,4.0,0.0,133.0,25.71,157.1,121.0,16.72,191.9,5.0,2.3,8.5,54.0,8.87,193.2,No,No,547.0,Yes,550.7,313.0,53.599999999999994,1.7594249201277956,No
96.0,1.0,29.0,91.0,25.5,150.0,75.0,13.55,159.4,3.0,2.3,8.5,55.0,10.26,228.1,Yes,No,445.0,No,546.0,224.0,51.60999999999999,2.4375,Yes
79.0,1.0,0.0,124.0,7.12,41.9,95.0,17.94,211.0,5.0,3.08,11.4,55.0,10.71,237.9,No,No,452.0,No,502.2,279.0,38.85,1.8,No
24.0,1.0,25.0,110.0,28.03,164.9,105.0,17.79,209.3,9.0,1.81,6.7,55.0,10.4,231.2,Yes,No,547.0,No,612.1000000000001,279.0,58.03,2.193906810035843,Yes
55.0,0.0,0.0,147.0,29.85,175.6,118.0,13.75,161.8,4.0,2.51,9.3,55.0,13.03,289.5,No,No,452.0,No,636.1999999999999,324.0,59.14,1.9635802469135801,No
63.0,1.0,33.0,111.0,31.31,184.2,89.0,26.57,312.6,4.0,3.29,12.2,55.0,11.88,264.0,Yes,No,452.0,No,773.0,259.0,73.05,2.9845559845559846,Yes
105.0,2.0,0.0,93.0,28.24,166.1,106.0,14.95,175.9,3.0,4.37,16.2,55.0,10.96,243.5,No,No,445.0,No,601.7,257.0,58.519999999999996,2.3412451361867705,No
117.0,5.0,0.0,123.0,18.13,115.4,101.0,22.19,236.3,2.0,3.67,13.6,55.0,10.22,225.0,No,No,452.0,Yes,590.3000000000001,281.0,54.21,2.1007117437722425,No
71.0,3.0,0.0,108.0,33.64,197.9,109.0,15.43,181.5,5.0,1.81,6.7,56.0,12.66,281.4,No,No,452.0,No,667.5,278.0,63.540000000000006,2.4010791366906474,No
117.0,5.0,0.0,126.0,20.13,118.4,97.0,21.19,249.3,3.0,3.67,13.6,56.0,10.22,227.0,No,No,452.0,Yes,608.3000000000001,282.0,55.21,2.1570921985815605,No
56.0,1.0,0.0,80.0,35.77,210.4,96.0,15.01,176.6,4.0,4.19,15.5,56.0,6.74,149.7,No,No,445.0,No,552.2,236.0,61.71,2.3398305084745763,No
105.0,0.0,0.0,101.0,48.05,271.9,105.0,20.23,240.2,6.0,2.38,8.8,56.0,8.05,186.8,No,No,445.0,Yes,707.6999999999998,268.0,78.71,2.640671641791044,No
110.0,3.0,0.0,90.0,17.02,100.1,93.0,19.83,233.3,8.0,3.0,11.1,57.0,9.2,204.4,No,No,445.0,No,548.9,248.0,49.05,2.2133064516129033,No
108.0,0.0,0.0,104.0,33.88,199.3,92.0,19.06,224.2,2.0,4.1,15.2,57.0,6.3,140.1,No,No,452.0,No,578.8000000000001,255.0,63.339999999999996,2.2698039215686276,No
74.0,2.0,35.0,104.0,26.2,154.1,84.0,10.49,123.4,9.0,2.94,10.9,57.0,9.09,202.1,Yes,No,452.0,No,490.5,254.0,48.72,1.9311023622047243,Yes
95.0,0.0,32.0,123.0,44.57,262.2,82.0,14.04,165.2,5.0,2.86,10.6,57.0,8.74,194.3,Yes,No,445.0,No,632.3000000000001,267.0,70.21,2.368164794007491,Yes
99.0,0.0,0.0,83.0,31.04,182.6,111.0,13.13,154.5,5.0,3.27,12.1,57.0,8.82,196.0,No,No,452.0,No,545.2,256.0,56.260000000000005,2.1296875,No
122.0,0.0,0.0,132.0,39.25,230.9,99.0,20.67,243.2,2.0,2.97,11.0,57.0,8.21,182.4,No,Yes,452.0,Yes,667.5,290.0,71.1,2.3017241379310347,Yes
110.0,1.0,0.0,88.0,38.71,227.7,96.0,14.45,170.0,5.0,3.16,11.7,57.0,5.79,128.7,No,No,452.0,No,538.1,246.0,62.11,2.18739837398374,No
10.0,2.0,0.0,112.0,31.64,186.1,66.0,16.17,190.2,6.0,3.08,11.4,57.0,12.73,282.8,No,No,445.0,No,670.4999999999999,241.0,63.620000000000005,2.782157676348547,No
94.0,3.0,0.0,107.0,47.76,279.2,141.0,17.47,180.8,1.0,2.4,8.9,57.0,11.59,267.6,No,No,445.0,Yes,736.5,306.0,79.22,2.406862745098039,No
90.0,2.0,0.0,77.0,30.46,179.2,99.0,17.91,210.7,6.0,2.48,9.2,58.0,12.46,276.9,No,No,452.0,No,676.0,240.0,63.31,2.816666666666667,No
86.0,0.0,20.666666666666668,101.0,20.23,119.0,134.0,19.55,230.0,3.0,2.57,9.5,58.0,10.66,236.9,Yes,No,547.0,No,595.4,296.0,53.01,2.0114864864864863,Yes
63.0,0.0,0.0,80.0,35.9,211.2,93.0,20.2,237.7,2.0,3.32,12.3,58.0,11.66,259.2,No,No,452.0,No,720.3999999999999,233.0,71.07999999999998,3.0918454935622313,No
122.0,1.0,0.0,62.0,5.97,35.1,89.0,15.37,180.8,2.0,3.43,12.7,58.0,11.32,251.6,No,No,452.0,No,480.2,211.0,36.089999999999996,2.275829383886256,No
63.0,1.0,0.0,112.0,10.69,62.9,111.0,17.25,202.9,8.0,2.4,8.9,58.0,11.66,259.0,No,Yes,452.0,No,533.6999999999999,289.0,41.99999999999999,1.8467128027681659,Yes
177.0,3.0,0.0,91.0,45.24,266.1,79.0,19.14,225.2,8.0,2.4,8.9,58.0,10.11,224.7,No,No,452.0,Yes,724.9,236.0,76.89,3.0716101694915254,No
75.0,4.0,0.0,57.0,34.92,194.3,121.0,8.98,93.6,4.0,2.62,9.7,58.0,7.92,170.9,No,Yes,445.0,Yes,468.49999999999994,240.0,54.440000000000005,1.9520833333333332,Yes
52.0,0.0,0.0,123.0,44.74,238.4,78.0,15.71,196.6,1.0,2.97,11.0,58.0,8.64,200.0,No,Yes,547.0,Yes,646.0,260.0,72.06,2.4846153846153847,Yes
131.0,2.0,25.0,85.0,32.76,192.7,105.0,19.2,225.9,6.0,2.94,10.9,59.0,11.44,254.2,Yes,No,452.0,No,683.6999999999999,255.0,66.33999999999999,2.681176470588235,Yes
121.0,1.0,0.0,121.0,28.66,168.6,94.0,14.33,168.6,4.0,3.32,12.3,59.0,4.29,95.3,No,No,445.0,No,444.8,278.0,50.6,1.6,No
