,feature,value
0,account_length,0.0006896551724138277
1,customer_service_calls,0.09568965517241382
2,number_vm_messages,0.0070689655172414215
3,total_day_calls,-0.001551724137931021
4,total_day_charge,-0.0017241379310344418
5,total_day_min,0.0015517241379310654
6,total_eve_calls,-0.0006896551724137722
7,total_eve_charge,-0.0013793103448275557
8,total_eve_min,-0.002068965517241361
9,total_intl_calls,0.019310344827586222
10,total_intl_charge,0.007758620689655204
11,total_intl_minutes,0.0098275862068966
12,total_night_calls,-0.0022413793103448045
13,total_night_charge,0.0027586206896552
14,total_night_minutes,0.00017241379310347637
15,voice_mail_plan,0.010172413793103496
16,intertiol_plan,0.056724137931034514
17,location_code,-0.0013793103448275557
18,total_mins,0.005172413793103481
19,total_calls,0.002586206896551757
20,total_charge,0.12758620689655173
21,mins_per_call,0.002068965517241406
22,has_plan,0.0027586206896552112
